조사일,채수위치,total_cyano,microcystis,anabaena,oscillatoria,aphanizomenon,일조시간 합계(hr),투명도,발령단계,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),전년저수위,예년저수위,취수량1,취수량2,취수량3,기타방류량1,기타방류량2,기타방류량3,outlet방류량,예년강수량,기타발전방류량,일강수량(mm)
2016-01-01,문의,,,,,,,,,,,,,,0.5333333333333333,-5.366666666666667,6.866666666666667,0.8333333333333334,74.83333333333333,4.6000000000000005,8.355,5.55,66.22,616.798,41.4,0.0,19.37,19.37,73.31,69.5,5.44,4.419,0.0,0.0,0.0,0.0,0.0,0.6743,0.0,
2016-01-02,문의,,,,,,,,,,,,,,5.433333333333334,0.5666666666666667,12.3,0.9333333333333332,72.46666666666667,6.166666666666667,6.76,5.699999999999999,66.23,617.231,41.4,0.0,23.881,18.875,73.28,69.48,4.954,4.345,0.0,0.0,0.0,0.0,0.0,1.2844,0.0,
2016-01-03,문의,,,,,,,,,,,,,,6.033333333333334,0.8333333333333334,13.066666666666668,0.7666666666666666,79.89999999999999,5.866666666666667,7.71,4.75,66.23,617.231,41.4,0.0,19.126,19.126,73.26,69.47,5.243,4.455,0.0,0.0,0.0,0.0,0.0,0.518,0.0,
2016-01-04,문의,,,,,,,,,,,,,,4.4,-1.1666666666666667,8.4,1.8333333333333333,56.7,6.966666666666666,9.13,4.25,66.23,617.231,41.4,0.0,18.99,18.99,73.24,69.45,5.117,4.335,0.0,0.0,0.0,0.0,0.0,0.6055,0.0,
2016-01-05,문의,108.000001,1e-06,1e-06,1e-06,108.000001,,,미발령,8.8,8.2,13.3,1.7,4.5,-0.9333333333333332,-3.9,3.1333333333333333,1.4,40.73333333333333,4.833333333333333,7.55,4.25,66.22,616.798,41.4,0.0,14.02,19.026,73.22,69.43,5.278,4.323,0.0,0.0,0.0,0.0,0.0,0.897,0.0,
2016-01-06,문의,111.95339458187084,1e-06,1e-06,1e-06,111.95339458187084,,,미발령,8.8,8.2,13.3,1.7,4.5,-0.6333333333333333,-6.433333333333334,4.5,1.2666666666666666,57.86666666666667,3.966666666666667,6.99,7.05,66.22,616.798,41.4,0.0,19.239,19.239,73.21,69.41,5.289,4.485,0.0,0.0,0.0,0.0,0.0,0.7357,0.0,
2016-01-07,문의,116.05150409585708,1e-06,1e-06,1e-06,116.05150409585708,,,미발령,8.8,8.2,13.3,1.7,4.5,-0.6666666666666666,-3.733333333333333,3.1333333333333333,1.9333333333333331,53.73333333333333,7.433333333333334,10.08,4.1,66.22,616.798,41.4,0.0,19.406,19.406,73.23,69.38,5.278,4.537,0.0,0.0,0.0,0.0,0.0,2.0815,0.0,
2016-01-08,문의,120.29962694040243,1e-06,1e-06,1e-06,120.29962694040243,,,미발령,8.8,8.2,13.3,1.7,4.5,-1.4666666666666668,-4.833333333333333,2.833333333333333,1.4333333333333331,55.13333333333333,7.966666666666666,9.34,4.55,66.21,616.366,41.4,0.0,14.447,19.45,73.25,69.35,5.301,4.583,0.0,0.0,0.0,0.0,0.0,0.7518,0.0,
2016-01-09,문의,124.70325442784704,1e-06,1e-06,1e-06,124.70325442784704,,,미발령,8.8,8.2,13.3,1.7,4.5,0.7333333333333333,-3.133333333333333,5.3,1.2333333333333334,56.43333333333334,6.1000000000000005,8.934999999999999,7.15,66.21,616.366,41.4,0.0,19.51,19.51,73.25,69.32,5.509,4.561,0.0,0.0,0.0,0.0,0.0,0.389,0.0,
2016-01-10,문의,129.2680788827418,1e-06,1e-06,1e-06,129.2680788827418,,,미발령,8.8,8.2,13.3,1.7,4.5,0.5666666666666667,-2.5,4.766666666666667,1.2666666666666666,58.0,2.433333333333333,5.825,4.6,66.2,615.934,41.3,0.0,14.351,19.352,73.25,69.29,5.324,4.578,0.0,0.0,0.0,0.0,0.0,0.305,0.0,
2016-01-11,문의,134.000001,1e-06,1e-06,1e-06,134.000001,,,미발령,8.8,8.2,13.3,1.7,4.5,-2.333333333333333,-5.866666666666667,3.0,1.2333333333333334,48.3,8.366666666666665,10.68,1.35,66.2,615.934,41.3,0.0,18.8,18.8,73.26,69.26,4.735,4.543,0.0,0.0,0.0,0.0,0.0,1.0166,0.0,
2016-01-12,문의,106.01607933244176,1e-06,1e-06,1e-06,106.01607933244176,,,미발령,8.8,8.2,13.3,1.7,4.5,-3.6666666666666665,-8.666666666666666,2.333333333333333,1.3333333333333333,54.333333333333336,8.5,11.19,1.85,66.19,615.502,41.3,0.0,14.365,19.363,73.23,69.23,5.335,4.518,0.0,0.0,0.0,0.0,0.0,0.6313,0.0,
2016-01-13,문의,83.8761865160179,1e-06,1e-06,1e-06,83.8761865160179,,,미발령,8.8,8.2,13.3,1.7,4.5,-2.0666666666666664,-5.4,1.4333333333333331,1.4333333333333331,74.13333333333334,3.8333333333333335,7.245,7.55,66.19,615.502,41.3,0.0,19.084,19.084,73.22,69.2,5.278,4.382,0.0,0.0,0.0,0.0,0.0,0.5389,0.0,
2016-01-14,문의,66.35988341361903,1e-06,1e-06,1e-06,66.35988341361903,,,미발령,8.8,8.2,13.3,1.7,4.5,-2.1666666666666665,-7.0,2.733333333333333,1.3666666666666665,52.3,8.033333333333333,11.025,3.25,66.18,615.071,41.3,0.0273,14.015,19.011,73.2,69.18,5.107,4.4,0.0,0.0,0.0,0.0,0.0,0.5058,0.0,
2016-01-15,문의,52.501601581852384,1e-06,1e-06,1e-06,52.501601581852384,,,미발령,8.8,8.2,13.3,1.7,4.5,-0.6666666666666666,-5.3,5.666666666666667,0.7999999999999999,66.66666666666667,6.2,8.725,3.8,66.17,614.639,41.3,0.0,14.313,19.307,73.18,69.15,5.458,4.409,0.0,0.0,0.0,0.0,0.0,1.5087,0.0,
2016-01-16,문의,41.53741728988429,1e-06,1e-06,1e-06,41.53741728988429,,,미발령,8.8,8.2,13.3,1.7,4.5,-0.1999999999999999,-5.533333333333334,7.166666666666667,0.8333333333333334,68.0,5.2,8.26,3.85,66.16,614.208,41.2,0.0,14.3,19.291,73.15,69.11,5.476,4.413,0.0,0.0,0.0,0.0,0.0,1.3086,0.0,
